id,number,compound_id,created_at,updated_at,source_id,source_type
1,FDB003998,13798,2019-08-01 18:38:52 UTC,2019-08-01 18:38:52 UTC,,
2,FDB030672,14616,2019-08-01 18:38:54 UTC,2019-08-01 18:38:54 UTC,,
3,FDB020538,23246,2019-08-01 18:38:54 UTC,2019-08-01 18:38:54 UTC,,
4,FDB017197,2613,2019-08-01 18:38:57 UTC,2019-08-01 18:38:57 UTC,,
5,FDB019855,19857,2019-08-01 18:39:02 UTC,2019-08-01 18:39:02 UTC,,
6,FDB003847,812,2019-08-01 18:39:02 UTC,2019-08-01 18:39:02 UTC,,
7,FDB003828,812,2019-08-01 18:39:02 UTC,2019-08-01 18:39:02 UTC,,
8,FDB003835,812,2019-08-01 18:39:03 UTC,2019-08-01 18:39:03 UTC,,
9,FDB015986,3973,2019-08-01 18:39:03 UTC,2019-08-01 18:39:03 UTC,,
10,FDB008769,3935,2019-08-01 18:39:05 UTC,2019-08-01 18:39:05 UTC,,
11,FDB008770,4007,2019-08-01 18:39:05 UTC,2019-08-01 18:39:05 UTC,,
12,FDB000688,11939,2019-08-01 18:39:07 UTC,2019-08-01 18:39:07 UTC,,
13,FDB015731,4804,2019-08-01 18:39:10 UTC,2019-08-01 18:39:10 UTC,,
14,FDB015758,18350,2019-08-01 18:39:15 UTC,2019-08-01 18:39:15 UTC,,
15,FDB013747,18350,2019-08-01 18:39:15 UTC,2019-08-01 18:39:15 UTC,,
16,FDB013748,18350,2019-08-01 18:39:15 UTC,2019-08-01 18:39:15 UTC,,
17,FDB004540,5207,2019-08-01 18:39:27 UTC,2019-08-01 18:39:27 UTC,,
18,FDB001483,5207,2019-08-01 18:39:27 UTC,2019-08-01 18:39:27 UTC,,
19,FDB003809,5207,2019-08-01 18:39:27 UTC,2019-08-01 18:39:27 UTC,,
20,FDB016272,31299,2019-08-01 18:39:27 UTC,2019-08-01 18:39:27 UTC,,
21,FDB013282,13284,2019-08-01 18:39:32 UTC,2019-08-01 18:39:32 UTC,,
22,FDB003292,5407,2019-08-01 18:39:32 UTC,2019-08-01 18:39:32 UTC,,
23,FDB015833,30827,2019-08-01 18:39:33 UTC,2019-08-01 18:39:33 UTC,,
24,FDB014598,14614,2019-08-01 18:39:33 UTC,2019-08-01 18:39:33 UTC,,
25,FDB014193,14614,2019-08-01 18:39:33 UTC,2019-08-01 18:39:33 UTC,,
