id,name,compound_id,creator_id,updater_id,created_at,updated_at
1,7-hydroxyflavonoids,1,,,2015-02-23 22:39:46 UTC,2015-02-23 22:39:46 UTC
2,5-hydroxyflavonoids,1,,,2015-02-23 22:39:46 UTC,2015-02-23 22:39:46 UTC
3,4'-hydroxyflavonoids,1,,,2015-02-23 22:39:46 UTC,2015-02-23 22:39:46 UTC
4,Dibenzopyrans,1,,,2015-02-23 22:39:46 UTC,2015-02-23 22:39:46 UTC
5,2-benzopyrans,1,,,2015-02-23 22:39:46 UTC,2015-02-23 22:39:46 UTC
6,Nitrotoluenes,1,,,2015-02-23 22:39:47 UTC,2015-02-23 22:39:47 UTC
7,Benzofurans,1,,,2015-02-23 22:39:47 UTC,2015-02-23 22:39:47 UTC
8,Resorcinols,1,,,2015-02-23 22:39:47 UTC,2015-02-23 22:39:47 UTC
9,Ortho cresols,1,,,2015-02-23 22:39:47 UTC,2015-02-23 22:39:47 UTC
10,Heteroaromatic compounds,1,,,2015-02-23 22:39:47 UTC,2015-02-23 22:39:47 UTC
11,Furans,1,,,2015-02-23 22:39:47 UTC,2015-02-23 22:39:47 UTC
12,Polyols,1,,,2015-02-23 22:39:47 UTC,2015-02-23 22:39:47 UTC
13,Oxacyclic compounds,1,,,2015-02-23 22:39:47 UTC,2015-02-23 22:39:47 UTC
14,Acetals,1,,,2015-02-23 22:39:47 UTC,2015-02-23 22:39:47 UTC
15,Hydrocarbon derivatives,1,,,2015-02-23 22:39:47 UTC,2015-02-23 22:39:47 UTC
16,Flavonoid-3-O-glycosides,4,,,2015-02-23 22:39:47 UTC,2015-02-23 22:39:47 UTC
17,7-hydroxyflavonoids,4,,,2015-02-23 22:39:47 UTC,2015-02-23 22:39:47 UTC
18,5-hydroxyflavonoids,4,,,2015-02-23 22:39:47 UTC,2015-02-23 22:39:47 UTC
19,4'-hydroxyflavonoids,4,,,2015-02-23 22:39:47 UTC,2015-02-23 22:39:47 UTC
20,3'-hydroxyflavonoids,4,,,2015-02-23 22:39:47 UTC,2015-02-23 22:39:47 UTC
21,Anthocyanidins,4,,,2015-02-23 22:39:47 UTC,2015-02-23 22:39:47 UTC
22,O-glycosyl compounds,4,,,2015-02-23 22:39:47 UTC,2015-02-23 22:39:47 UTC
23,1-benzopyrans,4,,,2015-02-23 22:39:47 UTC,2015-02-23 22:39:47 UTC
24,Resorcinols,4,,,2015-02-23 22:39:47 UTC,2015-02-23 22:39:47 UTC
25,Catechols,4,,,2015-02-23 22:39:47 UTC,2015-02-23 22:39:47 UTC
26,Oxanes,4,,,2015-02-23 22:39:47 UTC,2015-02-23 22:39:47 UTC
27,Monosaccharides,4,,,2015-02-23 22:39:47 UTC,2015-02-23 22:39:47 UTC
28,Heteroaromatic compounds,4,,,2015-02-23 22:39:47 UTC,2015-02-23 22:39:47 UTC
29,Acetate salts,4,,,2015-02-23 22:39:47 UTC,2015-02-23 22:39:47 UTC
30,Secondary alcohols,4,,,2015-02-23 22:39:47 UTC,2015-02-23 22:39:47 UTC
31,Carboxylic acid esters,4,,,2015-02-23 22:39:47 UTC,2015-02-23 22:39:47 UTC
32,"1,2-diols",4,,,2015-02-23 22:39:47 UTC,2015-02-23 22:39:47 UTC
33,Oxacyclic compounds,4,,,2015-02-23 22:39:48 UTC,2015-02-23 22:39:48 UTC
34,Acetals,4,,,2015-02-23 22:39:48 UTC,2015-02-23 22:39:48 UTC
35,Hydrocarbon derivatives,4,,,2015-02-23 22:39:48 UTC,2015-02-23 22:39:48 UTC
36,Carbonyl compounds,4,,,2015-02-23 22:39:48 UTC,2015-02-23 22:39:48 UTC
37,Organic cations,4,,,2015-02-23 22:39:48 UTC,2015-02-23 22:39:48 UTC
38,Flavonoid-3-O-glycosides,13,,,2015-02-23 22:39:48 UTC,2015-02-23 22:39:48 UTC
39,Saccharolipids,13,,,2015-02-23 22:39:48 UTC,2015-02-23 22:39:48 UTC
40,7-hydroxyflavonoids,13,,,2015-02-23 22:39:48 UTC,2015-02-23 22:39:48 UTC
41,5-hydroxyflavonoids,13,,,2015-02-23 22:39:48 UTC,2015-02-23 22:39:48 UTC
42,4'-hydroxyflavonoids,13,,,2015-02-23 22:39:48 UTC,2015-02-23 22:39:48 UTC
43,3'-hydroxyflavonoids,13,,,2015-02-23 22:39:48 UTC,2015-02-23 22:39:48 UTC
44,Anthocyanidins,13,,,2015-02-23 22:39:48 UTC,2015-02-23 22:39:48 UTC
45,O-glycosyl compounds,13,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
46,1-benzopyrans,13,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
47,Resorcinols,13,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
48,Catechols,13,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
49,Fatty acid esters,13,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
50,Oxanes,13,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
51,Monosaccharides,13,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
52,Dicarboxylic acids and derivatives,13,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
53,Heteroaromatic compounds,13,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
54,Secondary alcohols,13,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
55,Carboxylic acid esters,13,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
56,"1,2-diols",13,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
57,Oxacyclic compounds,13,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
58,Carboxylic acids,13,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
59,Acetals,13,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
60,Hydrocarbon derivatives,13,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
61,Carbonyl compounds,13,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
62,Organic cations,13,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
63,Flavonoid-3-O-glycosides,22,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
64,7-hydroxyflavonoids,22,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
65,5-hydroxyflavonoids,22,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
66,4'-hydroxyflavonoids,22,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
67,3'-hydroxyflavonoids,22,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
68,Anthocyanidins,22,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
69,O-glycosyl compounds,22,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
70,1-benzopyrans,22,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
71,Resorcinols,22,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
72,Catechols,22,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
73,Monosaccharides,22,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
74,Oxolanes,22,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
75,Heteroaromatic compounds,22,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
76,Acetate salts,22,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
77,Secondary alcohols,22,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
78,Carboxylic acid esters,22,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
79,"1,2-diols",22,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
80,Oxacyclic compounds,22,,,2015-02-23 22:39:49 UTC,2015-02-23 22:39:49 UTC
81,Acetals,22,,,2015-02-23 22:39:50 UTC,2015-02-23 22:39:50 UTC
82,Hydrocarbon derivatives,22,,,2015-02-23 22:39:50 UTC,2015-02-23 22:39:50 UTC
83,Carbonyl compounds,22,,,2015-02-23 22:39:50 UTC,2015-02-23 22:39:50 UTC
84,Organic cations,22,,,2015-02-23 22:39:50 UTC,2015-02-23 22:39:50 UTC
85,Coumaric acids and derivatives,48,,,2015-02-23 22:39:50 UTC,2015-02-23 22:39:50 UTC
86,Cinnamic acid esters,48,,,2015-02-23 22:39:50 UTC,2015-02-23 22:39:50 UTC
87,O-glycosyl compounds,48,,,2015-02-23 22:39:50 UTC,2015-02-23 22:39:50 UTC
88,1-benzopyrans,48,,,2015-02-23 22:39:50 UTC,2015-02-23 22:39:50 UTC
89,Phenylpropenes,48,,,2015-02-23 22:39:50 UTC,2015-02-23 22:39:50 UTC
90,Styrenes,48,,,2015-02-23 22:39:50 UTC,2015-02-23 22:39:50 UTC
91,O-benzoquinones,48,,,2015-02-23 22:39:50 UTC,2015-02-23 22:39:50 UTC
92,Phenols and derivatives,48,,,2015-02-23 22:39:50 UTC,2015-02-23 22:39:50 UTC
93,Fatty acid esters,48,,,2015-02-23 22:39:50 UTC,2015-02-23 22:39:50 UTC
94,Oxanes,48,,,2015-02-23 22:39:50 UTC,2015-02-23 22:39:50 UTC
95,Monosaccharides,48,,,2015-02-23 22:39:50 UTC,2015-02-23 22:39:50 UTC
96,Enoate esters,48,,,2015-02-23 22:39:50 UTC,2015-02-23 22:39:50 UTC
97,Secondary alcohols,48,,,2015-02-23 22:39:50 UTC,2015-02-23 22:39:50 UTC
98,"1,2-diols",48,,,2015-02-23 22:39:50 UTC,2015-02-23 22:39:50 UTC
99,Oxacyclic compounds,48,,,2015-02-23 22:39:50 UTC,2015-02-23 22:39:50 UTC
100,Monocarboxylic acids and derivatives,48,,,2015-02-23 22:39:50 UTC,2015-02-23 22:39:50 UTC
101,Acetals,48,,,2015-02-23 22:39:50 UTC,2015-02-23 22:39:50 UTC
102,Hydrocarbon derivatives,48,,,2015-02-23 22:39:50 UTC,2015-02-23 22:39:50 UTC
103,Organic cations,48,,,2015-02-23 22:39:50 UTC,2015-02-23 22:39:50 UTC
104,3'-O-methylated flavonoids,52,,,2015-02-23 22:39:51 UTC,2015-02-23 22:39:51 UTC
105,7-hydroxyflavonoids,52,,,2015-02-23 22:39:51 UTC,2015-02-23 22:39:51 UTC
106,4'-hydroxyflavonoids,52,,,2015-02-23 22:39:51 UTC,2015-02-23 22:39:51 UTC
107,3'-hydroxyflavonoids,52,,,2015-02-23 22:39:51 UTC,2015-02-23 22:39:51 UTC
108,Anthocyanidins,52,,,2015-02-23 22:39:51 UTC,2015-02-23 22:39:51 UTC
109,O-glycosyl compounds,52,,,2015-02-23 22:39:51 UTC,2015-02-23 22:39:51 UTC
110,Methoxyphenols,52,,,2015-02-23 22:39:51 UTC,2015-02-23 22:39:51 UTC
111,Dimethoxybenzenes,52,,,2015-02-23 22:39:51 UTC,2015-02-23 22:39:51 UTC
112,1-benzopyrans,52,,,2015-02-23 22:39:51 UTC,2015-02-23 22:39:51 UTC
113,Catechols,52,,,2015-02-23 22:39:51 UTC,2015-02-23 22:39:51 UTC
114,Anisoles,52,,,2015-02-23 22:39:51 UTC,2015-02-23 22:39:51 UTC
115,Alkyl aryl ethers,52,,,2015-02-23 22:39:51 UTC,2015-02-23 22:39:51 UTC
116,Oxanes,52,,,2015-02-23 22:39:51 UTC,2015-02-23 22:39:51 UTC
