id,name,gene_name,description,go_classification,general_function,specific_function,pathway,reaction,cellular_location,signals,transmembrane_regions,molecular_weight,theoretical_pi,locus,chromosome,uniprot_name,uniprot_id,pdb_id,genbank_protein_id,genbank_gene_id,genecard_id,genatlas_id,hgnc_id,hprd_id,organism,general_citations,comments,creator_id,updater_id,created_at,updated_at
1,UDP-glucuronosyltransferase 2B28,UGT2B28,,,,,,,,,,,,,,,Q9BY64,,,,,,,,,,,,,2015-02-23 22:40:56 UTC,2015-02-23 22:40:56 UTC
2,Estrogen receptor beta,ESR2,,,,,,,,,,,,,,,Q92731,,,,,,,,,,,,,2015-02-23 22:40:57 UTC,2015-02-23 22:40:57 UTC
3,UDP-glucuronosyltransferase 2B4,UGT2B4,,,,,,,,,,,,,,,P06133,,,,,,,,,,,,,2015-02-23 22:40:57 UTC,2015-02-23 22:40:57 UTC
4,UDP-glucuronosyltransferase 1-4,UGT1A4,,,,,,,,,,,,,,,P22310,,,,,,,,,,,,,2015-02-23 22:40:57 UTC,2015-02-23 22:40:57 UTC
5,UDP-glucuronosyltransferase 2B10,UGT2B10,,,,,,,,,,,,,,,P36537,,,,,,,,,,,,,2015-02-23 22:40:57 UTC,2015-02-23 22:40:57 UTC
6,UDP-glucuronosyltransferase 2B7,UGT2B7,,,,,,,,,,,,,,,P16662,,,,,,,,,,,,,2015-02-23 22:40:57 UTC,2015-02-23 22:40:57 UTC
7,UDP-glucuronosyltransferase 2B15,UGT2B15,,,,,,,,,,,,,,,P54855,,,,,,,,,,,,,2015-02-23 22:40:57 UTC,2015-02-23 22:40:57 UTC
8,UDP-glucuronosyltransferase 2A1,UGT2A1,,,,,,,,,,,,,,,Q9Y4X1,,,,,,,,,,,,,2015-02-23 22:40:57 UTC,2015-02-23 22:40:57 UTC
9,UDP-glucuronosyltransferase 1-1,UGT1A1,,,,,,,,,,,,,,,P22309,,,,,,,,,,,,,2015-02-23 22:40:57 UTC,2015-02-23 22:40:57 UTC
10,UDP-glucuronosyltransferase 1-9,UGT1A9,,,,,,,,,,,,,,,O60656,,,,,,,,,,,,,2015-02-23 22:40:57 UTC,2015-02-23 22:40:57 UTC
11,UDP-glucuronosyltransferase 1-8,UGT1A8,,,,,,,,,,,,,,,Q9HAW9,,,,,,,,,,,,,2015-02-23 22:40:57 UTC,2015-02-23 22:40:57 UTC
12,UDP-glucuronosyltransferase 1-3,UGT1A3,,,,,,,,,,,,,,,P35503,,,,,,,,,,,,,2015-02-23 22:40:57 UTC,2015-02-23 22:40:57 UTC
13,UDP-glucuronosyltransferase 1-10,UGT1A10,,,,,,,,,,,,,,,Q9HAW8,,,,,,,,,,,,,2015-02-23 22:40:57 UTC,2015-02-23 22:40:57 UTC
14,UDP-glucuronosyltransferase 2B17,UGT2B17,,,,,,,,,,,,,,,O75795,,,,,,,,,,,,,2015-02-23 22:40:57 UTC,2015-02-23 22:40:57 UTC
15,UDP-glucuronosyltransferase 1-6,UGT1A6,,,,,,,,,,,,,,,P19224,,,,,,,,,,,,,2015-02-23 22:40:57 UTC,2015-02-23 22:40:57 UTC
16,UDP-glucuronosyltransferase 1-5,UGT1A5,,,,,,,,,,,,,,,P35504,,,,,,,,,,,,,2015-02-23 22:40:57 UTC,2015-02-23 22:40:57 UTC
17,UDP-glucuronosyltransferase 2B11,UGT2B11,,,,,,,,,,,,,,,O75310,,,,,,,,,,,,,2015-02-23 22:40:57 UTC,2015-02-23 22:40:57 UTC
18,UDP-glucuronosyltransferase 1-7,UGT1A7,,,,,,,,,,,,,,,Q9HAW7,,,,,,,,,,,,,2015-02-23 22:40:57 UTC,2015-02-23 22:40:57 UTC
19,Sex hormone-binding globulin,SHBG,,,,,,,,,,,,,,,P04278,,,,,,,,,,,,,2015-02-23 22:40:57 UTC,2015-02-23 22:40:57 UTC
20,Nuclear receptor subfamily 1 group I member 2,NR1I2,,,,,,,,,,,,,,,O75469,,,,,,,,,,,,,2015-02-23 22:40:57 UTC,2015-02-23 22:40:57 UTC
21,Estrogen receptor,ESR1,,,,,,,,,,,,,,,P03372,,,,,,,,,,,,,2015-02-23 22:40:57 UTC,2015-02-23 22:40:57 UTC
22,UDP-glucuronosyltransferase 2A3,UGT2A3,,,,,,,,,,,,,,,Q6UWM9,,,,,,,,,,,,,2015-02-23 22:40:57 UTC,2015-02-23 22:40:57 UTC
