id,ontology_term_id,synonym,external_id,external_srouce,parent_id,parent_source,comment,curator,created_at,updated_at
3357,8378,Hypercholesterolaemia,,,,,,,2018-02-27 00:23:14 UTC,2018-02-27 00:23:14 UTC
3358,8378,High cholesterol,,,,,,,2018-02-27 00:23:14 UTC,2018-02-27 00:23:14 UTC
3359,10060,Sleeping,,,,,,,2018-02-27 00:23:14 UTC,2018-02-27 00:23:14 UTC
3360,10051,Appetite,,,,,,,2018-02-27 00:23:14 UTC,2018-02-27 00:23:14 UTC
3361,9333,Anti trypanosomic,,,,,,,2018-02-27 00:23:14 UTC,2018-02-27 00:23:14 UTC
3362,9333,Trypanocide,,,,,,,2018-02-27 00:23:14 UTC,2018-02-27 00:23:14 UTC
3363,9333,Trypanosomicidal agents,,,,,,,2018-02-27 00:23:15 UTC,2018-02-27 00:23:15 UTC
3364,9333,Trypanocidal agent,,,,,,,2018-02-27 00:23:15 UTC,2018-02-27 00:23:15 UTC
3365,8986,Gsd type ix,,,,,,,2018-02-27 00:23:15 UTC,2018-02-27 00:23:15 UTC
3366,8527,Drta,,,,,,,2018-02-27 00:23:15 UTC,2018-02-27 00:23:15 UTC
3367,8527,"Renal tubular acidosis i, rta, distal type, autosomal dominant",,,,,,,2018-02-27 00:23:15 UTC,2018-02-27 00:23:15 UTC
3368,8527,"Rta, classic type",,,,,,,2018-02-27 00:23:15 UTC,2018-02-27 00:23:15 UTC
3369,8527,"Rta, gradient type",,,,,,,2018-02-27 00:23:15 UTC,2018-02-27 00:23:15 UTC
3370,9007,Hyperalaninemia,,,,,,,2018-02-27 00:23:15 UTC,2018-02-27 00:23:15 UTC
3371,9148,Spina bifida cystica,,,,,,,2018-02-27 00:23:15 UTC,2018-02-27 00:23:15 UTC
3372,9148,Myelomeningocele,,,,,,,2018-02-27 00:23:15 UTC,2018-02-27 00:23:15 UTC
3373,9615,Pigmenting agent,,,,,,,2018-02-27 00:23:15 UTC,2018-02-27 00:23:15 UTC
3374,9111,Partus praetemporaneus,,,,,,,2018-02-27 00:23:15 UTC,2018-02-27 00:23:15 UTC
3375,9111,Partus praematurus,,,,,,,2018-02-27 00:23:15 UTC,2018-02-27 00:23:15 UTC
3376,9111,Premature birth,,,,,,,2018-02-27 00:23:15 UTC,2018-02-27 00:23:15 UTC
3377,9716,Anti hepatoadenomic,,,,,,,2018-02-27 00:23:15 UTC,2018-02-27 00:23:15 UTC
3378,8685,Skin ulcer,,,,,,,2018-02-27 00:23:15 UTC,2018-02-27 00:23:15 UTC
3379,9297,Anti anemic,,,,,,,2018-02-27 00:23:15 UTC,2018-02-27 00:23:15 UTC
3380,9047,Calculus,,,,,,,2018-02-27 00:23:15 UTC,2018-02-27 00:23:15 UTC
3381,9016,Phosphoethanolaminuria,,,,,,,2018-02-27 00:23:15 UTC,2018-02-27 00:23:15 UTC
3382,9016,Hops,,,,,,,2018-02-27 00:23:15 UTC,2018-02-27 00:23:15 UTC
3383,9083,Otcd,,,,,,,2018-02-27 00:23:15 UTC,2018-02-27 00:23:15 UTC
3384,8490,Non-hodgkin lymphoma,,,,,,,2018-02-27 00:23:15 UTC,2018-02-27 00:23:15 UTC
3385,8484,Mcadd,,,,,,,2018-02-27 00:23:15 UTC,2018-02-27 00:23:15 UTC
