id,term,definition,external_id,external_source,comment,curator,parent_id,level,created_at,updated_at,legacy_id
7659,Process,"Biological or chemical events, or a series thereof, leading to a known function or end-product.",,,,,,1,2018-02-26 21:06:16 UTC,2018-04-06 00:45:16 UTC,
7660,Naturally occurring process,"Naturally-occurring molecular events or a series thereof, leading to a known function or end-product.",,,,,7659,2,2018-02-26 21:06:16 UTC,2018-04-06 00:45:16 UTC,
7661,Biological process,"Biological or chemical events or a series thereof, leading to a known function or end-product within an organism.",,,,,7660,3,2018-02-26 21:06:16 UTC,2018-04-06 00:45:16 UTC,
7662,Biochemical pathway,"A linked series of chemical reactions that occur in a defined order within or between organism cells, and lead to a known function or end product.",,,,,7661,4,2018-02-26 21:06:16 UTC,2018-04-06 00:45:16 UTC,
7663,Chemical reaction,A defined chemical event that occurs within or between organism cells.,,,,,7661,4,2018-02-26 21:06:16 UTC,2018-04-06 00:45:16 UTC,
7664,Biochemical process,"A biological process occurring at the subcellular level, involving biochemical reactions.",,,,,7661,4,2018-02-26 21:06:16 UTC,2018-02-26 21:06:16 UTC,
7665,Cellular process,A biological process occurring within a cell or its surroundings.,,,,,7661,4,2018-02-26 21:06:16 UTC,2018-02-26 21:06:16 UTC,
7666,Multicellular process,"A biological process occurring in multiple cells, of similar or different type.",,,,,7661,4,2018-02-26 21:06:16 UTC,2018-02-26 21:06:16 UTC,
7667,System process,"A biological process occurring in an organ, a system or at the organism level.",,,,,7661,4,2018-02-26 21:06:16 UTC,2018-02-26 21:06:16 UTC,
7668,Pathologic process,"A biological process occurring at any anatomical level, and is abnormal or harmful to the organism.",,,,,7661,4,2018-02-26 21:06:16 UTC,2018-02-26 21:06:16 UTC,
7669,Environmental process,A series of events that occur naturally in the environment and not within an organism.,,,,,7660,3,2018-02-26 21:06:16 UTC,2018-04-06 00:45:16 UTC,
7670,Industrial process,A series of molecular events that involve at least one synthetic reaction.,,,,,7659,2,2018-02-26 21:06:16 UTC,2018-02-26 21:06:16 UTC,
