compound_id,canonical_flavor,flavor_group
8281,alcohol,chemical
3592,cabbage,vegetable
3241,pineapple,fruity
8128,almond,nutty
753,sweet,balsamic
11933,butter,fatty
1325,apple,fruity
29793,cabbage,vegetable
3379,green,green
8230,butter,fatty
8241,butter,fatty
12065,cheese,fatty
8081,grape,fruity
29794,green,green
11802,butter,fatty
12087,sweet,balsamic
8300,sour,fatty
3492,cabbage,vegetable
8134,green,green
8132,whiskee,wine_like
8235,strawberre,fruity
8235,tomato,vegetable
29796,green,green
29796,plastic,chemical
8240,green,green
8240,plastic,chemical
3276,apple,fruity
3276,banana,fruity
9848,apple,fruity
3279,sweet,balsamic
8094,green,green
8179,sweet,balsamic
8086,green,green
29798,cabbage,vegetable
5817,plastic,chemical
3272,green,green
12085,apple,fruity
3229,almond,nutty
1367,pineapple,fruity
3387,pear,fruity
10899,almond,nutty
10899,sweet,balsamic
8083,apple,fruity
8083,green,green
29802,apple,fruity
11880,apple,fruity
8136,cheese,fatty
8073,green,green
8133,banana,fruity
11499,green,green
8091,green,green
8091,walnut,nutty
5820,geranium,floral
19253,pineapple,fruity
8049,citru,citrus
12160,mushroom,earthy
13899,sweet,balsamic
5816,plastic,chemical
3391,green,green
1413,green,green
8232,green,green
11996,green,green
8061,almond,nutty
14664,almond,nutty
8054,green,green
8380,sweet,balsamic
8380,potato,vegetable
3346,butter,fatty
12461,cabbage,vegetable
21353,cabbage,vegetable
29813,hazelnut,nutty
3366,mushroom,earthy
8239,mushroom,earthy
3350,mushroom,earthy
10993,almond,nutty
10993,caramel,balsamic
14711,pepper,pepper
14711,mushroom,earthy
29814,geranium,floral
13519,pepper,pepper
14924,lemon,citrus
3090,butter,fatty
21567,sweet,balsamic
3340,lemon,citrus
3340,green,green
8528,potato,vegetable
8788,walnut,nutty
3343,mushroom,earthy
19934,green,green
19934,banana,fruity
3344,mushroom,earthy
29821,cabbage,vegetable
4833,citru,citrus
12241,hawthorne,floral
12241,honee,balsamic
12241,sweet,balsamic
14300,citru,citrus
14619,sweet,balsamic
3256,rose,floral
3256,green,green
14327,lemon,citrus
29822,caramel,balsamic
15974,lemon,citrus
13570,lemon,citrus
13570,orange,citrus
29825,caramel,balsamic
20388,caramel,balsamic
3338,orange,citrus
12109,almond,nutty
17365,citru,citrus
1462,citru,citrus
8547,green,green
8544,caramel,balsamic
14667,walnut,nutty
2957,green,green
29827,walnut,nutty
12544,caramel,balsamic
12544,sweet,balsamic
29829,citru,citrus
8532,green,green
8532,melon,citrus
1465,sweet,balsamic
2941,green,green
14852,green,green
11888,sweet,balsamic
16013,caramel,balsamic
29832,mushroom,earthy
20029,potato,vegetable
29833,citru,citrus
3361,maple,woody
12201,sweet,balsamic
20028,potato,vegetable
8789,plastic,chemical
29835,sweet,balsamic
2712,caramel,balsamic
19962,sweet,balsamic
12451,banana,fruity
29836,mushroom,earthy
29837,cucumber,vegetable
3304,citru,citrus
3304,green,green
12155,honee,balsamic
12155,rose,floral
14439,hyacinth,floral
14943,lavender,floral
8350,green,green
8350,cucumber,vegetable
3347,plastic,chemical
15973,plastic,chemical
29839,green,green
3309,green,green
29841,sweet,balsamic
29841,rose,floral
12004,strawberre,fruity
812,citru,citrus
9779,green,green
29844,mushroom,earthy
2189,caramel,balsamic
9793,lemon,citrus
8746,sweet,balsamic
5026,citru,citrus
29846,cucumber,vegetable
29847,citru,citrus
3373,green,green
29849,caramel,balsamic
29850,apple,fruity
3313,cucumber,vegetable
3313,green,green
29855,sweet,balsamic
3308,green,green
12043,cucumber,vegetable
12043,green,green
11863,caramel,balsamic
12646,horseradish,vegetable
21276,potato,vegetable
3303,cucumber,vegetable
12583,cucumber,vegetable
29856,green,green
8723,sweet,balsamic
29860,green,green
29860,citru,citrus
11410,green,green
29863,green,green
12200,celere,vegetable
12117,cucumber,vegetable
17582,sweet,balsamic
29865,geranium,floral
14922,carawae,herbaceous
29866,green,green
8349,watermelon,fruity
12395,anise,balsamic
29868,green,green
29869,cucumber,vegetable
20948,cabbage,vegetable
3278,butter,fatty
3278,cheese,fatty
11676,green,green
826,citru,citrus
29871,carawae,herbaceous
2288,citru,citrus
3306,coconut,fruity
728,apple,fruity
3844,carawae,herbaceous
14103,coconut,fruity
18754,strawberre,fruity
17548,green,green
14493,rose,floral
13578,lemon,citrus
2988,orange,citrus
12156,rose,floral
12156,honee,balsamic
12156,tobacco,tobacco
14948,sweet,balsamic
10562,sweet,balsamic
12191,cinnamon,balsamic
12191,anise,balsamic
14617,fennel,herbaceous
10560,honee,balsamic
13724,lemon,citrus
29876,rose,floral
14602,carawae,herbaceous
17544,green,green
19140,sweet,balsamic
872,sweet,balsamic
10576,sweet,balsamic
13705,lemon,citrus
13795,rose,floral
13795,geranium,floral
3307,green,green
3337,cheese,fatty
11675,sweet,balsamic
14426,grapefruit,fruity
8783,cinnamon,balsamic
19894,clove,herbaceous
16878,peach,fruity
11834,orange,citrus
11834,green,green
29880,citru,citrus
3393,caramel,balsamic
3393,sweet,balsamic
14707,citru,citrus
14707,green,green
14887,sweet,balsamic
29881,green,green
19991,sweet,balsamic
2917,sweet,balsamic
14419,anise,balsamic
701,coconut,fruity
29883,coconut,fruity
8076,coumarin,spicy
8076,sweet,balsamic
857,clove,herbaceous
11409,plum,fruity
897,honee,balsamic
29887,sweet,balsamic
29889,apple,fruity
10955,caramel,balsamic
19969,sweet,balsamic
12449,rose,floral
19970,green,green
838,vanilla,balsamic
8396,coconut,fruity
8396,peach,fruity
15484,rose,floral
15484,honee,balsamic
13741,green,green
13797,rose,floral
11710,peach,fruity
29894,sweet,balsamic
12174,clove,herbaceous
12174,honee,balsamic
2987,grape,fruity
4535,citru,citrus
4535,green,green
8549,clove,herbaceous
12140,lile,floral
12140,citru,citrus
19882,orange,citrus
17263,green,green
15483,apple,fruity
29895,green,green
14487,violet,floral
1028,wintergreen,green
2291,pear,fruity
2291,sweet,balsamic
11941,green,green
11941,sweet,balsamic
8394,peach,fruity
11909,cabbage,vegetable
8530,green,green
878,coconut,fruity
16116,coconut,fruity
29896,rose,floral
3015,green,green
3015,sweet,balsamic
29897,whiskee,wine_like
8785,honee,balsamic
14706,citru,citrus
14706,sweet,balsamic
29899,peach,fruity
12863,peach,fruity
2292,sweet,balsamic
2292,apple,fruity
2292,citru,citrus
29900,pepper,pepper
15517,pear,fruity
15473,violet,floral
15473,raspberre,fruity
16242,rose,floral
14408,green,green
29902,sweet,balsamic
2897,sweet,balsamic
3012,coconut,fruity
11846,raspberre,fruity
17372,green,green
29904,citru,citrus
29904,lavender,floral
8200,cabbage,vegetable
16241,sweet,balsamic
16241,rose,floral
17547,green,green
14898,sweet,balsamic
6368,green,green
18012,rose,floral
18012,apple,fruity
15077,green,green
8741,sweet,balsamic
15730,peach,fruity
411,rose,floral
411,apple,fruity
13588,sweet,balsamic
15736,sweet,balsamic
16243,honee,balsamic
16243,rose,floral
15498,jasmine,floral
14734,coconut,fruity
20008,rose,floral
3840,green,green
1424,jasmine,floral
9602,peach,fruity
9602,sweet,balsamic
29913,jasmine,floral
14960,sweet,balsamic
963,sweet,balsamic
22003,sweet,balsamic
29919,strawberre,fruity
29920,sweet,balsamic
14573,sweet,balsamic
16880,sweet,balsamic
12005,honee,balsamic
15572,green,green
15572,sweet,balsamic
29921,green,green
29922,sweet,balsamic
29924,sweet,balsamic
14802,grapefruit,fruity
20799,sweet,balsamic
29927,honee,balsamic
29930,sweet,balsamic
8395,apricot,fruity
29932,green,green
2891,coconut,fruity
21100,sweet,balsamic
29934,caramel,balsamic
29934,butter,balsamic
29934,vanilla,balsamic
29935,sweet,balsamic
29935,vanilla,balsamic
12058,vanilla,balsamic
15484,apple,fruity
21560,cabbage,vegetable
3361,celere,vegetable
12552,celere,vegetable
29936,corn,vegetable
8532,cucumber,vegetable
15392,horseradish,vegetable
3376,horseradish,vegetable
16868,horseradish,vegetable
8241,horseradish,vegetable
3391,vegetable,vegetable
3379,vegetable,vegetable
19426,vegetable,vegetable
19517,vegetable,vegetable
3486,vegetable,vegetable
21276,vegetable,vegetable
3492,vegetable,vegetable
8532,vegetable,vegetable
8530,vegetable,vegetable
