food_id,food_id,food_name,group,subgroup,category,compound_count
506,506.0,"Cattle (Beef, Veal)",Animal foods,Bovines,specific,42560
549,549.0,Domestic pig,Animal foods,Swine,specific,42556
540,540.0,Rabbit,Animal foods,Lagomorphs,specific,42547
505,505.0,Turkey,Animal foods,Poultry,specific,42543
590,590.0,Anatidae,Animal foods,Poultry,specific,42540
595,595.0,Mountain hare,Animal foods,Lagomorphs,specific,42539
624,624.0,"Columbidae (Dove, Pigeon)",Animal foods,Poultry,specific,42533
611,611.0,Rock ptarmigan,Animal foods,Poultry,specific,42533
334,334.0,Chicken,Animal foods,Poultry,specific,42516
483,483.0,"Sheep (Mutton, Lamb)",Animal foods,Ovis,specific,42515
535,535.0,Deer,Animal foods,Venison,specific,42501
555,555.0,Quail,Animal foods,Poultry,specific,42496
541,541.0,Domestic goat,Animal foods,Caprae,specific,42489
542,542.0,Beefalo,Animal foods,Bovines,specific,42453
310,310.0,Wild boar,Animal foods,Swine,specific,42429
435,435.0,Velvet duck,Animal foods,Poultry,specific,42429
383,383.0,Horse,Animal foods,Equines,specific,42429
438,438.0,Pheasant,Animal foods,Poultry,specific,42429
378,378.0,Guinea hen,Animal foods,Poultry,specific,42429
303,303.0,Bison,Animal foods,Bovines,specific,42429
430,430.0,Ostrich,Animal foods,Poultry,specific,42429
365,365.0,Emu,Animal foods,Poultry,specific,42429
316,316.0,Buffalo,Animal foods,Bovines,specific,42429
364,364.0,Elk,Animal foods,Venison,specific,42429
491,491.0,Squab,Animal foods,Poultry,specific,42429
451,451.0,European rabbit,Animal foods,Lagomorphs,specific,42429
373,373.0,Greylag goose,Animal foods,Poultry,specific,42428
353,353.0,Mule deer,Animal foods,Venison,specific,42428
358,358.0,Mallard duck,Animal foods,Poultry,specific,42428
939,939.0,Black tea,Teas,Teas,,7453
940,940.0,Green tea,Teas,Teas,,7450
1021,1021.0,Herbal tea,Teas,Teas,,7410
957,957.0,Red tea,Teas,Teas,,7408
205,205.0,Corn,Cereals and cereal products,Cereals,specific,6639
561,561.0,Common mushroom,Vegetables,Mushrooms,specific,6585
567,567.0,Oyster mushroom,Vegetables,Mushrooms,specific,6572
85,85.0,Soy bean,Soy,Soy,specific,6532
6,6.0,Garden onion,Vegetables,Onion-family vegetables,specific,6485
175,175.0,Potato,Vegetables,Tubers,specific,6467
245,245.0,Carrot,Vegetables,Root vegetables,specific,6388
