ingredient,normalized_ingredient,food_id,food_name,food_group,food_subgroup,category,match_type
1 fat buttermilk,1 fat buttermilk,,,,,,unmatched
1 fat cottage cheese,1 fat cottage cheese,,,,,,unmatched
1 low fat chocolate milk,1 low fat chocolate milk,,,,,,unmatched
1 low fat milk,1 low fat milk,,,,,,unmatched
10 bean soup mix,10 bean soup mix,,,,,,unmatched
10 cream,10 cream,,,,,,unmatched
100 bran,100 bran,,,,,,unmatched
12 inch flour tortillas,12 inch flour tortillas,,,,,,unmatched
15 bean mix,15 bean mix,,,,,,unmatched
15 bean soup mix,15 bean soup mix,,,,,,unmatched
15 cream,15 cream,,,,,,unmatched
18 table cream,18 table cream,,,,,,unmatched
2 buttermilk,2 buttermilk,,,,,,unmatched
2 cheddar cheese,2 cheddar cheese,,,,,,unmatched
2 evaporated milk,2 evaporated milk,,,,,,unmatched
2 fat cottage cheese,2 fat cottage cheese,,,,,,unmatched
2 large curd cottage cheese,2 large curd cottage cheese,,,,,,unmatched
2 low fat milk,2 low fat milk,,,,,,unmatched
2 mexican cheese blend,2 mexican cheese blend,,,,,,unmatched
2 milk,2 milk,,,,,,unmatched
2 mozzarella cheese,2 mozzarella cheese,,,,,,unmatched
3 bean mix,3 bean mix,,,,,,unmatched
35 cream,35 cream,,,,,,unmatched
4 fat cottage cheese,4 fat cottage cheese,,,,,,unmatched
6 inch corn tortillas,6 inch corn tortillas,,,,,,unmatched
6 inch fat free whole wheat pita bread,6 inch fat free whole wheat pita bread,,,,,,unmatched
6 inch flour tortillas,6 inch flour tortillas,,,,,,unmatched
6 inch whole wheat pitas,6 inch whole wheat pitas,,,,,,unmatched
7 up,7 up,,,,,,unmatched
7 up soda,7 up soda,,,,,,unmatched
70 lean ground beef,70 lean ground beef,,,,,,unmatched
8 inch baked pie shell,8 inch baked pie shell,,,,,,unmatched
8 inch flour tortillas,8 inch flour tortillas,,,,,,unmatched
8 inch graham cracker crust,8 inch graham cracker crust,,,,,,unmatched
8 inch pre baked crumb crust,8 inch pre baked crumb crust,,,,,,unmatched
80 lean ground beef,80 lean ground beef,,,,,,unmatched
85 lean ground beef,85 lean ground beef,,,,,,unmatched
9 grain bread,9 grain bread,,,,,,unmatched
9 inch baked pie crust,9 inch baked pie crust,,,,,,unmatched
9 inch deep dish pie crust,9 inch deep dish pie crust,,,,,,unmatched
9 inch graham cracker crust,9 inch graham cracker crust,,,,,,unmatched
9 inch pie shell,9 inch pie shell,,,,,,unmatched
9 inch pie shells,9 inch pie shells,,,,,,unmatched
9 pastry pie shells,9 pastry pie shells,,,,,,unmatched
9 unbaked pie shell,9 unbaked pie shell,,,,,,unmatched
90 lean ground beef,90 lean ground beef,,,,,,unmatched
92 lean ground beef,92 lean ground beef,,,,,,unmatched
93 lean ground beef,93 lean ground beef,,,,,,unmatched
94 lean ground beef,94 lean ground beef,,,,,,unmatched
95 lean ground beef,95 lean ground beef,,,,,,unmatched
96 lean ground beef,96 lean ground beef,,,,,,unmatched
97 fat free cooked ham,97 fat free cooked ham,,,,,,unmatched
97 fat free shaved leg ham,97 fat free shaved leg ham,,,,,,unmatched
97 lean ground beef,97 lean ground beef,,,,,,unmatched
98 fat free broccoli cheese soup,98 fat free broccoli cheese soup,,,,,,unmatched
98 fat free cheddar cheese soup,98 fat free cheddar cheese soup,,,,,,unmatched
98 fat free condensed cream of celery soup,98 fat free condensed cream of celery soup,,,,,,unmatched
98 fat free condensed mushroom soup,98 fat free condensed mushroom soup,,,,,,unmatched
98 fat free cream of broccoli soup,98 fat free cream of broccoli soup,,,,,,unmatched
98 fat free cream of chicken soup,98 fat free cream of chicken soup,,,,,,unmatched
98 fat free cream of mushroom soup,98 fat free cream of mushroom soup,,,,,,unmatched
98 fat free honey ham,98 fat free honey ham,,,,,,unmatched
98 lean ground beef,98 lean ground beef,,,,,,unmatched
99 fat free orange flavored yogurt,99 fat free orange flavored yogurt,,,,,,unmatched
a1 original sauce,a1 original sauce,,,,,,unmatched
a1 steak sauce,a1 steak sauce,,,,,,unmatched
abalone steak,abalone steak,,,,,,unmatched
absolut citron vodka,absolut citron vodka,,,,,,unmatched
absolut kurant vodka,absolut kurant vodka,,,,,,unmatched
absolut mandarin vodka,absolut mandarin vodka,,,,,,unmatched
absolut vodka,absolut vodka,,,,,,unmatched
accent seasoning,accent seasoning,,,,,,unmatched
aceto balsamico,aceto balsamico,,,,,,unmatched
achar,achar,,,,,,unmatched
achiote,achiote,,,,,,unmatched
achiote oil,achiote oil,,,,,,unmatched
achiote paste,achiote paste,,,,,,unmatched
achiote paste cubes,achiote paste cubes,,,,,,unmatched
achiote powder,achiote powder,,,,,,unmatched
achiote seeds,achiote seeds,,,,,,unmatched
acini di pepe pasta,acini di pepe pasta,,,,,,unmatched
ackee,ackee,,,,,,unmatched
acorn squash,acorn squash,1004.0,Acorn squash,Gourds,Gourds,,exact
active dry yeast,active dry yeast,,,,,,unmatched
active starter,active starter,,,,,,unmatched
adobo sauce,adobo sauce,,,,,,unmatched
adobo seasoning,adobo seasoning,,,,,,unmatched
adolphs meat tenderizer,adolphs meat tenderizer,,,,,,unmatched
advieh e polo,advieh e polo,,,,,,unmatched
advocaat,advocaat,,,,,,unmatched
adzuki beans,adzuki beans,,,,,,unmatched
after dinner mints,after dinner mints,,,,,,unmatched
agar,agar,285.0,Agar,Aquatic foods,Seaweed,specific,exact
agar agar,agar agar,,,,,,unmatched
agar agar flakes,agar agar flakes,,,,,,unmatched
agave,agave,577.0,Agave,Vegetables,Other vegetables,specific,exact
agave nectar,agave nectar,,,,,,unmatched
agave syrup,agave syrup,,,,,,unmatched
aged cheddar cheese,aged cheddar cheese,,,,,,unmatched
aged white cheddar cheese,aged white cheddar cheese,,,,,,unmatched
aguardiente,aguardiente,,,,,,unmatched
agwa cocoa herbal liqueur,agwa cocoa herbal liqueur,,,,,,unmatched
ahi,ahi,,,,,,unmatched
ahi tuna steaks,ahi tuna steaks,,,,,,unmatched
aioli,aioli,,,,,,unmatched
aji bell peppers,aji bell peppers,,,,,,unmatched
aji panca chile,aji panca chile,,,,,,unmatched
aji panca chilies,aji panca chilies,,,,,,unmatched
aji yellow paste,aji yellow paste,,,,,,unmatched
ajinomoto,ajinomoto,,,,,,unmatched
ajwain,ajwain,,,,,,unmatched
albacore tuna,albacore tuna,525.0,Albacore tuna,Aquatic foods,Fishes,specific,exact
albacore tuna in water,albacore tuna in water,,,,,,unmatched
alcohol,alcohol,,,,,,unmatched
ale,ale,,,,,,unmatched
aleppo pepper,aleppo pepper,,,,,,unmatched
alfalfa,alfalfa,287.0,Alfalfa,Herbs and Spices,Herbs,specific,exact
alfalfa sprout,alfalfa sprout,,,,,,unmatched
alfalfa sprouts,alfalfa sprouts,,,,,,unmatched
alfredo sauce,alfredo sauce,,,,,,unmatched
alfredo sauce mix,alfredo sauce mix,,,,,,unmatched
alfredo sauce with parmesan cheese,alfredo sauce with parmesan cheese,,,,,,unmatched
alize gold passion liqueur,alize gold passion liqueur,,,,,,unmatched
all bran cereal,all bran cereal,,,,,,unmatched
all bran extra fiber cereal,all bran extra fiber cereal,,,,,,unmatched
all purpose flour,all purpose flour,,,,,,unmatched
all purpose greek seasoning,all purpose greek seasoning,,,,,,unmatched
all purpose white flour,all purpose white flour,,,,,,unmatched
alligator meat,alligator meat,,,,,,unmatched
alligator tail steaks,alligator tail steaks,,,,,,unmatched
allspice,allspice,288.0,Allspice,Herbs and Spices,Spices,specific,exact
allspice berries,allspice berries,,,,,,unmatched
allspice berry,allspice berry,,,,,,unmatched
allwhites egg whites,allwhites egg whites,,,,,,unmatched
almond bark,almond bark,,,,,,unmatched
almond breeze non dairy beverage,almond breeze non dairy beverage,,,,,,unmatched
almond brickle chips,almond brickle chips,,,,,,unmatched
almond butter,almond butter,,,,,,unmatched
almond cookie,almond cookie,,,,,,unmatched
almond cookies,almond cookies,,,,,,unmatched
almond emulsion,almond emulsion,,,,,,unmatched
almond essence,almond essence,,,,,,unmatched
almond extract,almond extract,,,,,,unmatched
almond filling,almond filling,,,,,,unmatched
almond flavored liqueur,almond flavored liqueur,,,,,,unmatched
almond flavoring,almond flavoring,,,,,,unmatched
almond flour,almond flour,,,,,,unmatched
almond granola,almond granola,,,,,,unmatched
almond halve,almond halve,,,,,,unmatched
almond halves,almond halves,,,,,,unmatched
almond liqueur,almond liqueur,,,,,,unmatched
almond meal,almond meal,,,,,,unmatched
almond milk,almond milk,969.0,Almond milk,Milk and milk products,Other milk products,,exact
almond oil,almond oil,,,,,,unmatched
almond paste,almond paste,,,,,,unmatched
almond powder,almond powder,,,,,,unmatched
almond stuffed green olives,almond stuffed green olives,,,,,,unmatched
almond syrup,almond syrup,,,,,,unmatched
almonds,almonds,,,,,,unmatched
aloe vera gel,aloe vera gel,,,,,,unmatched
alouette spinach artichoke spreadable cheese,alouette spinach artichoke spreadable cheese,,,,,,unmatched
alpha bits cereal,alpha bits cereal,,,,,,unmatched
alphabet pasta,alphabet pasta,,,,,,unmatched
alphabet pasta and vegetable soup,alphabet pasta and vegetable soup,,,,,,unmatched
alpine lace reduced fat swiss cheese,alpine lace reduced fat swiss cheese,,,,,,unmatched
alum,alum,,,,,,unmatched
aluminum foil,aluminum foil,,,,,,unmatched
amaranth,amaranth,289.0,Amaranth,Herbs and Spices,Herbs,specific,exact
amaranth flour,amaranth flour,,,,,,unmatched
amaranth grain,amaranth grain,,,,,,unmatched
amaretti,amaretti,,,,,,unmatched
amaretti cookie,amaretti cookie,,,,,,unmatched
amaretti cookie crumbs,amaretti cookie crumbs,,,,,,unmatched
amaretti cookies,amaretti cookies,,,,,,unmatched
amarettinis,amarettinis,,,,,,unmatched
amaretto,amaretto,,,,,,unmatched
amaretto cookies,amaretto cookies,,,,,,unmatched
amaretto flavored coffee,amaretto flavored coffee,,,,,,unmatched
amaretto flavored coffee creamer,amaretto flavored coffee creamer,,,,,,unmatched
amaretto flavored nondairy liquid creamer,amaretto flavored nondairy liquid creamer,,,,,,unmatched
amaretto liqueur,amaretto liqueur,,,,,,unmatched
amaretto syrup,amaretto syrup,,,,,,unmatched
amarula cream liqueur,amarula cream liqueur,,,,,,unmatched
amber beer,amber beer,,,,,,unmatched
amchoor powder,amchoor powder,,,,,,unmatched
amchur,amchur,,,,,,unmatched
american cheese,american cheese,,,,,,unmatched
amish starter,amish starter,,,,,,unmatched
ammonia,ammonia,,,,,,unmatched
anaheim chili,anaheim chili,,,,,,unmatched
anaheim chilies,anaheim chilies,,,,,,unmatched
