,recipe_frequency
633,11710
666,36056
667,22091
195,4173
872,1243
685,12340
40,15041
716,3148
670,14657
941,16880
912,1793
967,2735
95,595
67,1837
8,8536
586,4438
825,8072
669,782
631,1106
175,515
206,1312
245,2582
118,2211
909,1171
803,91
982,276
65,840
130,907
985,3786
995,5615
951,464
781,1389
965,1724
90,111
179,193
68,753
974,613
643,4073
105,617
970,761
208,870
714,1417
979,1145
954,2042
61,457
74,202
18,188
243,1005
159,626
131,2536
920,392
664,78
700,1013
642,113
639,537
54,1477
968,5267
949,1115
881,621
883,932
634,362
34,555
901,624
804,412
9,739
178,557
645,1011
707,702
13,310
709,173
334,821
102,61
205,680
980,789
288,548
577,22
341,362
505,139
321,382
92,276
695,80
268,476
999,248
292,6
1007,4
274,437
792,25
41,67
12,315
943,599
63,162
731,237
82,68
125,532
808,760
684,69
237,112
58,236
21,391
676,104
806,20
31,412
546,694
811,603
969,128
174,324
629,278
837,84
770,32
871,98
960,26
938,72
83,375
910,286
765,267
840,41
671,158
987,491
973,242
450,316
992,46
778,201
673,506
981,648
729,198
733,58
119,53
39,640
567,8
106,280
53,678
7,328
730,97
121,134
1005,198
874,74
854,6
812,60
1019,377
986,171
152,96
650,39
646,259
647,70
197,4
4,57
249,71
735,32
1004,74
1003,6
19,142
158,72
703,114
149,81
587,24
911,76
718,95
978,114
946,10
829,130
98,199
983,441
641,88
996,25
144,28
150,6
38,48
126,42
52,94
153,86
395,226
151,18
261,23
972,165
775,27
460,25
88,95
738,17
663,17
789,35
170,13
525,25
648,20
289,11
291,63
845,10
805,110
724,42
976,147
717,42
540,19
137,12
427,71
796,43
580,9
35,32
630,19
128,19
516,87
939,52
519,21
831,11
654,38
842,20
298,55
816,20
253,115
763,97
256,43
332,16
398,5
2,52
122,2
940,20
977,8
463,3
129,75
330,10
36,58
575,15
379,11
713,12
690,5
744,51
1023,8
625,5
520,77
919,15
309,1
23,10
229,17
312,2
908,8
81,6
758,23
93,8
846,14
759,26
857,10
945,6
396,5
146,2
907,18
108,5
1002,23
238,17
509,21
851,46
679,11
990,13
1022,3
214,19
235,5
766,59
142,3
619,7
788,18
668,8
10,6
167,12
299,4
24,13
316,5
89,1
275,7
794,5
48,9
545,26
498,7
870,3
674,6
706,6
328,8
270,1
991,6
566,7
692,25
1021,1
284,22
314,2
918,4
28,10
100,8
27,4
454,3
112,12
113,3
99,3
377,4
762,8
164,8
392,2
760,3
984,9
33,18
809,2
905,3
820,1
839,1
458,2
489,4
914,3
530,1
1013,1
500,4
177,4
988,13
507,1
696,2
848,3
287,4
1,1
389,3
616,4
399,2
168,2
157,2
869,2
524,1
535,1
216,1
555,1
698,1
26,1
481,1
194,1
438,4
579,1
662,1
285,1
608,1
757,1
468,1
