canonical_name,flavor_count,example,top_group
butter,4,"butter, buttered, butterscotch, buttery",balsamic
cheese,3,"cheese, cheesy, parmesan",fatty
herb,3,"herb, herbaceous, herbal",herbaceous
clean cloth,3,"clean cloth, clean clothes, clean cloths",
sulfur,3,"sulfur, sulfurous, sulfury",chemical
smoke,3,"smoke, smoked, smoky",smoky
pepper,2,"pepper, peppery",pepper
roast peanut,2,"roasted peanut, roasted peanuts",
intense,2,"intense, intensely",
roast nut,2,"roasted nut, roasted nuts",
cream,2,"cream, creamy",fatty
milk,2,"milk, milky",
fruit,2,"fruit, fruity",fruity
earth,2,"earth, earthy",earthy
roast,2,"roast, roasted",
meat,2,"meat, meaty",meaty
rose,2,"rose, rosy",floral
umami,2,"savory, umami",
anise,2,"anise, aniseed",balsamic
cool,2,"cool, cooling",
fish,2,"fish, fishy",fishy
nut,2,"nut, nutty",nutty
spice,2,"spice, spicy",spicy
fat,2,"fat, fatty",fatty
outdoor,1,outdoor,
other,1,others,balsamic
orri,1,orris,
overripe fruit,1,overripe fruit,
oxyacetaldehyde,1,oxyacetaldehyde,
ozone,1,ozone,
paint,1,paint,
painte,1,painty,
palmarosa,1,palmarosa,
papaya,1,papaya,fruity
paper,1,paper,
parslee,1,parsley,
passion fruit,1,passion fruit,
pastre,1,pastry,
pea,1,pea,
oriental,1,oriental,
new mown hay,1,new mown hay,
nitrile,1,nitrile,
nopyl acetate,1,nopyl acetate,
nut skin,1,nut skin,
nutmeg,1,nutmeg,
oak,1,oak,
oakmos,1,oakmoss,
ocimene,1,ocimene,
odorles,1,odorless,
oil,1,oil,
oile,1,oily,fatty
patchouli,1,patchouli,
old wood,1,old wood,
olibanum,1,olibanum,
onion,1,onion,
opoponax,1,opoponax,
orange,1,orange,citrus
orange blossom,1,orange blossom,
orange flower,1,orange flower,
orange juice,1,orange juice,
orange peel,1,orange peel,
orangepeel,1,orangepeel,
orchid,1,orchid,
old paper,1,old paper,
plum,1,plum,fruity
plum skin,1,plum skin,
pollen,1,pollen,
popcorn,1,popcorn,
pork,1,pork,
potato,1,potato,vegetable
powdere,1,powdery,
powderful,1,powderful,
powerful,1,powerful,
privet,1,privet,
privet blossom,1,privet blossom,
niobe,1,niobe,
propionic,1,propionic,
prune,1,prune,
pulpe,1,pulpy,
pumpkin,1,pumpkin,
pungent,1,pungent,
putrid,1,putrid,
pyrazine,1,pyrazine,
pyridine,1,pyridine,
quince,1,quince,fruity
radiant,1,radiant,
radish,1,radish,
raisin,1,raisin,
profarnesal,1,profarnesal,
peach,1,peach,fruity
peach pit,1,peach-pit,
peanut,1,peanut,nutty
peanut butter,1,peanut butter,
peanutbutter,1,peanutbutter,
pear,1,pear,fruity
pear skin,1,pear skin,
pee,1,peely,
pencil,1,pencil,
penetrat,1,penetrating,
peone,1,peony,
peppermint,1,peppermint,
pleasant,1,pleasant,
pesticide,1,pesticide,
petal,1,petal,
petitgrain,1,petitgrain,
petroleum,1,petroleum,
phenol,1,phenol,
phenolic,1,phenolic,
pine,1,pine,
pine needle,1,pine needle,
pineapple,1,pineapple,fruity
pistachio,1,pistachio,
plant,1,plant,
plastic,1,plastic,chemical
peptone,1,peptone,
liquor,1,liquor,
logenberre,1,logenberry,
longifolone,1,longifolone,
lovage,1,lovage,
low,1,low,
lychee,1,lychee,
mace,1,mace,
macrocyclic,1,macrocyclic,
magnolia,1,magnolia,
mahogane,1,mahogany,
mallow,1,mallow,
malt,1,malt,
nasturtium,1,nasturtium,
maltol,1,maltol,
mandarin,1,mandarin,
mandarin skin,1,mandarin skin,
mango,1,mango,fruity
maple,1,maple,woody
maple syrup,1,maple syrup,
marigold,1,marigold,floral
marine,1,marine,
marshmallow,1,marshmallow,
match,1,matches,
may blossom,1,may blossom,
meadow,1,meadow,
malte,1,malty,
laundre,1,laundry,
lavandin,1,lavandin,
lavender,1,lavender,floral
leaf,1,leaf,
leafe,1,leafy,green
leather,1,leather,
leathere,1,leathery,
leav,1,leaves,
leek,1,leek,
lemon,1,lemon,citrus
lemon peel,1,lemon peel,
lemon rind,1,lemon rind,
linse,1,linseed,
lettuce,1,lettuce,
liatrix,1,liatrix,
licorice,1,licorice,
light,1,light,
lilac,1,lilac,
lile,1,lily,floral
lile of the vallee,1,lily of the valley,
lime,1,lime,citrus
lime blossom,1,lime blossom,
linalool,1,linalool,
linalyl acetate,1,linalyl acetate,
linden,1,linden,
linen,1,linen,
lemongras,1,lemongrass,
mos,1,moss,
moscato,1,moscato,
mosse,1,mossy,mossy
moth ball,1,moth ball,
mothball,1,mothball,
moulde,1,mouldy,
mouse,1,mousy,
muguet,1,muguet,
mushroom,1,mushroom,earthy
musk,1,musk,
muske,1,musky,musky
must,1,must,
meat broth,1,meat broth,
muste,1,musty,earthy
mutton,1,mutton,
myrcene,1,myrcene,
myrrh,1,myrrh,
naphtha,1,naphtha,
naphthalic,1,naphthalic,
naphthelene,1,naphthelene,
naphthyl,1,naphthyl,
narcissu,1,narcissus,
rancid,1,rancid,
natural,1,natural,
neroli,1,neroli,
new car,1,new car,
mustard,1,mustard,
meatbroth,1,meatbroth,
medical,1,medical,
medicinal,1,medicinal,medicinal
medicine,1,medicine,
mellow,1,mellow,
melon,1,melon,citrus
melon rind,1,melon rind,
menthol,1,menthol,
mentholic,1,mentholic,
mercaptan,1,mercaptan,
mesquite,1,mesquite,woody
metal,1,metal,
molde,1,moldy,
methyl acetophenone,1,methyl acetophenone,
methyl dihydrojasmonate,1,methyl dihydrojasmonate,
methyl ionone,1,methyl ionone,
mignonette,1,mignonette,
mild,1,mild,
mild cool,1,mild cooling,
mildew,1,mildew,
mimosa,1,mimosa,
